exit_any,sector_grp,years_since_first_investment,flag_founding_pre2000,first_round_syndicate_size,first_round_foreign_investor_share,first_round_corporate_vc_flag,first_round_late_stage_pe_flag,first_round_investor_experience_mean,log_investor_experience_mean
0,Other,5.722108145106092,0,2,0.5,0,0,1498.0,7.312553498102598
0,Medical Devices & Equipment,6.455852156057495,1,1,1.0,0,0,6.0,1.9459101490553132
0,Other,9.44558521560575,0,1,0.0,0,0,3.0,1.3862943611198906
0,Other,9.88911704312115,1,1,1.0,0,0,6.0,1.9459101490553132
0,Pharmaceuticals,5.900068446269678,0,2,1.0,0,0,47.0,3.871201010907891
0,Financial Services,9.160848733744011,0,2,1.0,0,0,7985.5,8.985507895230011
1,Consumer Products,2.223134839151266,1,1,0.0,0,0,10.0,2.3978952727983707
0,Healthcare,9.122518822724162,1,1,1.0,0,1,10.0,2.3978952727983707
0,Healthcare,6.9021218343600275,0,1,1.0,0,0,374.0,5.926926025970411
0,Financial Services,8.14236824093087,1,1,1.0,0,1,1.0,0.6931471805599453
0,Financial Services,4.8405201916495555,0,1,0.0,0,0,163.0,5.099866427824199
0,Software,3.02258726899384,0,1,0.0,0,0,2101.0,7.650644551436897
0,"Automobiles, Other Vehicles & Parts",0.919917864476386,0,3,0.5,0,0,15620.333333333334,9.656392780399406
0,Healthcare IT,6.247775496235455,0,2,0.0,0,0,856.0,6.75343791859778
0,Other,6.699520876112252,0,1,0.0,0,0,5.0,1.791759469228055
0,Other,8.331279945242985,0,2,0.5,0,0,1261.8,7.141086756683837
0,Business Support Services,3.4086242299794662,0,2,0.5,0,0,36.5,3.624340932976365
0,"Automobiles, Other Vehicles & Parts",9.754962354551678,0,1,1.0,0,0,696.0,6.546785410760524
1,Software,8.539356605065024,0,1,0.0,0,0,3099.0,8.039157390473237
1,Consumer Products,3.189596167008898,0,1,0.0,0,0,7.0,2.0794415416798357
1,Healthcare,1.9849418206707734,0,1,1.0,0,1,7.0,2.0794415416798357
0,"Automobiles, Other Vehicles & Parts",7.271731690622861,0,3,0.0,0,0,15668.666666666666,9.65948206305404
0,Software,3.0006844626967832,0,1,0.0,0,1,103.0,4.6443908991413725
0,Consumer Products,9.262149212867898,0,3,0.0,0,0,366.0,5.905361848054571
0,Other,9.500342231348391,0,2,1.0,0,0,43.0,3.784189633918261
0,"Automobiles, Other Vehicles & Parts",1.566050650239562,0,4,0.25,0,0,845.5,6.74111020157319
0,Financial Services,8.539356605065024,1,1,1.0,0,0,108.0,4.6913478822291435
0,Software,2.220396988364134,0,3,0.0,0,1,5495.666666666667,8.611897126885536
0,Consumer Products,3.0198494182067077,0,3,0.6666666666666666,0,0,7838.555555555556,8.966937422395148
0,Software,1.2785763175906912,0,1,0.0,0,0,25.0,3.258096538021482
0,Healthcare IT,3.583846680355921,0,3,0.3333333333333333,0,0,1052.3333333333333,6.959715017912848
0,Financial Services,3.7754962354551678,0,3,0.3333333333333333,0,0,989.8,6.898512697615204
0,Education/Training,7.2060232717316905,0,2,0.0,0,1,96.5,4.579852378003801
0,Software,3.5044490075290895,0,1,0.0,0,0,1.0,0.6931471805599453
0,Other,1.264887063655031,0,3,0.0,0,0,6344.272727272727,8.75546536224645
0,Software,4.005475701574264,0,2,0.0,0,0,1607.0,7.382746449738912
0,Internet,6.524298425735798,0,1,0.0,0,0,2.0,1.0986122886681098
0,"Automobiles, Other Vehicles & Parts",6.036960985626283,0,2,0.5,0,0,1894.25,7.547106034936413
0,Software,0.8624229979466119,0,2,0.5,0,0,8837.25,9.086844172233365
0,Financial Services,1.434633812457221,0,4,0.25,1,1,281.0,5.641907070938114
0,Education/Training,4.479123887748118,0,2,1.0,0,0,2321.6666666666665,7.750471229864229
0,Financial Services,9.754962354551678,0,1,1.0,0,1,73.5,4.310799125385514
0,Financial Services,3.7316906228610542,0,3,1.0,0,1,3893.0,8.267192185932146
0,Other,2.461327857631759,1,1,0.0,0,0,7.0,2.0794415416798357
0,Business Support Services,9.935660506502396,0,1,0.0,0,0,16.0,2.833213344056216
0,Financial Services,8.91170431211499,1,1,1.0,0,1,14.0,2.70805020110221
0,Financial Services,6.9021218343600275,0,1,1.0,0,0,11.0,2.4849066497880004
0,Pharmaceuticals,2.9349760438056127,1,1,1.0,0,0,493.0,6.202535517187923
0,Internet,9.749486652977414,0,1,1.0,0,0,1288.0,7.161622002939187
0,Internet,7.923340177960301,0,1,0.0,0,0,11439.0,9.344871264933788
0,Medical Devices & Equipment,8.596851471594798,0,3,0.0,0,0,419.0,6.040254711277414
0,Food,1.2566735112936345,1,1,0.0,0,0,87.0,4.477336814478207
0,Financial Services,7.14031485284052,1,2,0.5,0,0,281.5,5.643678550586496
0,Food,4.607802874743326,0,1,1.0,0,0,70.0,4.2626798770413155
0,Financial Services,9.86173853524983,0,2,1.0,0,0,144.5,4.980176086611547
0,Software,3.189596167008898,0,3,0.3333333333333333,0,0,7.333333333333333,2.120263536200091
0,Software,0.5338809034907598,0,1,0.0,0,0,12.0,2.5649493574615367
0,Other,3.373032169746749,0,4,0.0,0,0,10069.4,9.217355706870087
